num_announcements, num_withdrawals, duplicate_announce, longest_aspath, shortest_aspath, avg_as_path, num_prepended_ases, tlong_events, tshort_events, avg_edit_distance, max_edit_distance, num_edited_paths, rare_as1, rare_as2, rare_as3, rare_as4, rare_as5, event_type, mrai
14, 0, 11, 10, 4, 6.414611872146119, 7, 1, 5, 3.8333333333333335, 8, 6, 0, 0, 0, 0, 0,1,15
25, 4, 20, 16, 3, 6.418510158013544, 42, 1, 1, 5.0, 9, 3, 0, 0, 0, 0, 0,1,15
9, 1, 7, 9, 4, 6.41501798561151, 6, 2, 2, 4.25, 7, 4, 0, 0, 0, 0, 0,1,15
14, 3, 12, 10, 4, 6.411974977658624, 13, 0, 2, 3.6666666666666665, 6, 3, 0, 0, 0, 0, 0,1,15
23, 5, 16, 14, 3, 6.40999557717824, 25, 1, 0, 9.0, 9, 1, 0, 0, 0, 0, 0,1,15
11, 1, 10, 10, 4, 6.408890845070423, 10, 0, 4, 5.25, 8, 4, 0, 0, 0, 0, 0,1,15
25, 5, 21, 11, 3, 6.402699172834131, 15, 1, 1, 4.5, 9, 4, 0, 0, 0, 0, 0,1,15
4, 1, 4, 16, 5, 6.409387222946545, 19, 1, 0, 4.0, 4, 1, 0, 0, 0, 0, 0,1,15
10, 0, 8, 8, 4, 6.408048463868456, 1, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,15
14, 6, 12, 8, 3, 6.40258064516129, 8, 0, 1, 1.5, 2, 2, 0, 0, 0, 0, 0,1,15
17, 1, 17, 14, 4, 6.4052092228864215, 31, 1, 6, 6.0, 12, 7, 0, 0, 0, 0, 0,1,15
27, 2, 9, 18, 4, 6.4356268467707896, 68, 0, 1, 1.5, 2, 2, 0, 0, 0, 0, 0,1,15
24, 4, 14, 9, 3, 6.427496865858755, 12, 2, 2, 3.5, 6, 6, 0, 0, 0, 0, 0,1,15
9, 2, 9, 16, 4, 6.429225645295587, 12, 1, 0, 8.0, 14, 2, 0, 0, 0, 0, 0,1,15
26, 5, 19, 11, 3, 6.423393739703459, 21, 2, 1, 5.0, 9, 4, 0, 0, 0, 0, 0,1,15
11, 2, 10, 10, 4, 6.423534235342354, 10, 0, 4, 5.25, 8, 4, 0, 0, 0, 0, 0,1,15
31, 5, 26, 16, 3, 6.426720647773279, 52, 3, 5, 6.5, 14, 8, 0, 0, 0, 0, 0,1,15
6, 1, 6, 10, 4, 6.426090468497577, 7, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,15
13, 3, 7, 11, 4, 6.431498593812776, 12, 2, 1, 4.4, 7, 5, 0, 0, 0, 0, 0,1,15
19, 5, 15, 16, 3, 6.42304625199362, 11, 0, 0, 2.0, 2, 1, 0, 0, 0, 0, 0,1,15
14, 2, 9, 12, 4, 6.429024583663759, 25, 0, 3, 3.5, 5, 4, 0, 0, 0, 0, 0,1,15
47, 4, 30, 15, 3, 6.44258466329311, 84, 3, 6, 5.714285714285714, 12, 14, 0, 0, 0, 0, 0,1,15
9, 6, 6, 16, 4, 6.445306439100078, 16, 0, 2, 2.3333333333333335, 3, 3, 0, 0, 0, 0, 0,1,15
19, 1, 16, 16, 3, 6.444358875625722, 17, 2, 1, 4.0, 5, 4, 0, 0, 0, 0, 0,1,15
26, 2, 14, 15, 3, 6.454060236370568, 37, 2, 1, 4.75, 9, 4, 0, 0, 0, 0, 0,1,15
8, 4, 5, 17, 6, 6.463321930824781, 30, 1, 0, 9.0, 9, 1, 0, 0, 0, 0, 0,1,15
43, 7, 26, 15, 3, 6.468586387434555, 56, 2, 5, 4.375, 8, 8, 0, 0, 0, 0, 0,1,15
12, 4, 6, 16, 4, 6.4780342516753535, 30, 1, 1, 5.0, 6, 2, 0, 0, 0, 0, 0,1,15
10, 3, 9, 12, 4, 6.47959940652819, 13, 1, 1, 5.333333333333333, 8, 3, 0, 0, 0, 0, 0,1,15
30, 3, 21, 16, 3, 6.48936170212766, 55, 0, 2, 5.5, 9, 2, 0, 0, 0, 0, 0,1,15
6, 4, 3, 14, 3, 6.493777452415813, 18, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 0,1,15
40, 10, 25, 17, 3, 6.488455988455988, 36, 1, 6, 4.125, 8, 8, 0, 0, 0, 0, 0,1,15
8, 4, 8, 16, 4, 6.495323741007194, 27, 2, 1, 4.333333333333333, 6, 3, 0, 0, 0, 0, 0,1,15
28, 3, 24, 17, 3, 6.498219373219373, 49, 1, 2, 4.75, 9, 4, 0, 0, 0, 0, 0,1,15
11, 3, 8, 14, 4, 6.507626818020575, 28, 1, 3, 7.75, 11, 4, 0, 0, 0, 0, 0,1,15
13, 1, 9, 11, 4, 6.508827683615819, 11, 2, 4, 4.857142857142857, 6, 7, 0, 0, 0, 0, 0,1,15
24, 3, 21, 10, 3, 6.502801120448179, 18, 1, 4, 4.666666666666667, 8, 6, 0, 0, 0, 0, 0,1,15
18, 0, 9, 16, 3, 6.3259668508287294, 58, 1, 5, 5.285714285714286, 13, 7, 0, 0, 0, 0, 0,1,5
15, 3, 12, 16, 3, 6.321095890410959, 16, 2, 1, 10.666666666666666, 14, 3, 0, 0, 0, 0, 0,1,5
22, 2, 11, 16, 3, 6.336220898754737, 43, 1, 2, 10.0, 14, 3, 0, 0, 0, 0, 0,1,5
17, 2, 9, 14, 4, 6.353004291845494, 44, 2, 0, 5.0, 5, 2, 0, 0, 0, 0, 0,1,5
11, 1, 8, 10, 4, 6.351466666666667, 7, 3, 3, 4.333333333333333, 5, 6, 0, 0, 0, 0, 0,1,5
25, 3, 17, 16, 3, 6.3521052631578945, 32, 1, 1, 3.5, 8, 4, 0, 0, 0, 0, 0,1,5
27, 4, 17, 16, 3, 6.35806953814219, 34, 3, 3, 3.5, 5, 6, 0, 0, 0, 0, 0,1,5
27, 3, 16, 10, 3, 6.349027635619243, 8, 1, 1, 2.5714285714285716, 5, 7, 0, 0, 0, 0, 0,1,5
22, 5, 15, 17, 3, 6.363866396761134, 53, 2, 4, 7.5, 14, 6, 0, 0, 0, 0, 0,1,5
